,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,completed sets,packs,simulations
35,1.0,,1.0,,,1.0,2.0,1.0,,1.0,1.0,,,1.0,,2.0,3.0,,1.0,3.0,2.0,2.0,1.0,1.0,0.6666666666666666,4.0,500.0
36,,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,,,3.0,1.0,2.0,1.0,1.0,0.75,4.0,500.0
37,,3.0,1.0,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,2.0,2.0,,2.0,,,2.0,1.0,,,1.0,,0.625,4.0,500.0
38,,2.0,2.0,1.0,,2.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,0.7083333333333334,4.0,500.0
39,1.0,1.0,1.0,2.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,,,2.0,1.0,0.75,4.0,500.0
40,,1.0,1.0,,2.0,,1.0,1.0,3.0,3.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,,2.0,,,1.0,,0.6666666666666666,4.0,500.0
41,,1.0,,1.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,0.7083333333333334,4.0,500.0
42,,1.0,,1.0,2.0,,,,3.0,,4.0,1.0,3.0,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,0.625,4.0,500.0
43,,1.0,1.0,1.0,,,1.0,3.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,2.0,2.0,,1.0,,,0.5833333333333334,4.0,500.0
44,,3.0,,,2.0,1.0,,1.0,1.0,1.0,3.0,,1.0,,1.0,1.0,,2.0,1.0,2.0,,,4.0,,0.5833333333333334,4.0,500.0
45,,,,,,2.0,2.0,,,3.0,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,4.0,2.0,2.0,1.0,0.5833333333333334,4.0,500.0
46,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,,1.0,,3.0,2.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,0.7083333333333334,4.0,500.0
47,,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,2.0,1.0,,0.7083333333333334,4.0,500.0
48,,,,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,,2.0,1.0,1.0,1.0,3.0,,1.0,0.6666666666666666,4.0,500.0
49,,,2.0,,2.0,,2.0,,,1.0,3.0,2.0,,2.0,,3.0,,1.0,,,1.0,2.0,3.0,,0.5,4.0,500.0
50,,1.0,,,1.0,2.0,,,,1.0,3.0,1.0,1.0,,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,,0.625,4.0,500.0
51,1.0,,,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,,,2.0,,1.0,3.0,2.0,,1.0,2.0,,2.0,,0.625,4.0,500.0
52,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,2.0,1.0,2.0,,,1.0,1.0,1.0,,2.0,2.0,2.0,,,1.0,,0.7083333333333334,4.0,500.0
53,1.0,,2.0,2.0,,1.0,1.0,,,,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,1.0,,,0.6666666666666666,4.0,500.0
54,,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,3.0,,1.0,1.0,,,,1.0,1.0,0.7083333333333334,4.0,500.0
55,,2.0,,2.0,1.0,1.0,1.0,,1.0,,2.0,,2.0,2.0,,,1.0,2.0,1.0,,3.0,,2.0,1.0,0.625,4.0,500.0
56,,,,1.0,1.0,,,2.0,2.0,1.0,2.0,3.0,1.0,,,1.0,1.0,,3.0,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,4.0,500.0
57,1.0,,,3.0,5.0,,,1.0,,,2.0,1.0,1.0,1.0,2.0,,,1.0,,,1.0,3.0,2.0,,0.5416666666666666,4.0,500.0
58,,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,,0.75,4.0,500.0
59,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,,4.0,1.0,,2.0,1.0,0.75,4.0,500.0
60,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,3.0,2.0,2.0,,1.0,1.0,,0.7083333333333334,4.0,500.0
61,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,,2.0,,,,,1.0,1.0,1.0,,2.0,2.0,2.0,0.6666666666666666,4.0,500.0
62,,,1.0,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.75,4.0,500.0
63,,1.0,,2.0,1.0,2.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,3.0,1.0,,1.0,2.0,,2.0,,0.6666666666666666,4.0,500.0
64,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,0.75,4.0,500.0
65,,1.0,1.0,4.0,,2.0,1.0,,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,,2.0,,,2.0,1.0,,0.6666666666666666,4.0,500.0
66,1.0,,1.0,2.0,1.0,1.0,3.0,2.0,,2.0,1.0,,,1.0,,,2.0,1.0,,,3.0,2.0,1.0,,0.625,4.0,500.0
67,,,1.0,2.0,3.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,0.75,4.0,500.0
68,,,,1.0,2.0,1.0,1.0,4.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,0.6666666666666666,4.0,500.0
69,,,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,3.0,,,,,2.0,1.0,0.625,4.0,500.0
70,,,3.0,,1.0,,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,,0.6666666666666666,4.0,500.0
71,,1.0,1.0,1.0,,3.0,1.0,3.0,3.0,1.0,,2.0,,,,,1.0,1.0,3.0,2.0,,1.0,,,0.5833333333333334,4.0,500.0
72,,1.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,,,,,2.0,2.0,,,1.0,1.0,2.0,2.0,1.0,0.5833333333333334,4.0,500.0
73,,,,1.0,2.0,1.0,,1.0,,1.0,1.0,3.0,,1.0,,3.0,,1.0,2.0,2.0,2.0,,2.0,1.0,0.625,4.0,500.0
74,,1.0,2.0,,1.0,,1.0,2.0,,3.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,2.0,0.6666666666666666,4.0,500.0
75,,,,3.0,2.0,,,,,1.0,3.0,1.0,2.0,,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,0.5833333333333334,4.0,500.0
76,,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,1.0,2.0,3.0,2.0,,,1.0,0.625,4.0,500.0
77,,,,1.0,1.0,1.0,,4.0,,1.0,,,1.0,2.0,2.0,,2.0,1.0,1.0,4.0,,1.0,,2.0,0.5833333333333334,4.0,500.0
78,,1.0,3.0,1.0,,1.0,,1.0,1.0,2.0,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,,,,2.0,,,0.625,4.0,500.0
79,1.0,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,3.0,2.0,1.0,0.75,4.0,500.0
80,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,3.0,2.0,3.0,,1.0,,1.0,2.0,1.0,4.0,,,1.0,0.625,4.0,500.0
81,2.0,,2.0,1.0,2.0,,,2.0,,2.0,,2.0,,,,2.0,1.0,,3.0,2.0,1.0,2.0,,,0.5416666666666666,4.0,500.0
82,,,2.0,,1.0,1.0,,1.0,3.0,3.0,,2.0,,2.0,1.0,,1.0,2.0,,1.0,2.0,,1.0,1.0,0.625,4.0,500.0
83,1.0,,,3.0,1.0,3.0,,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,3.0,,1.0,,,1.0,,1.0,,0.625,4.0,500.0
84,,1.0,2.0,1.0,,,1.0,3.0,,,4.0,,,,2.0,2.0,1.0,,3.0,,1.0,1.0,2.0,,0.5416666666666666,4.0,500.0
85,3.0,,1.0,2.0,1.0,1.0,,,,1.0,,,2.0,,,1.0,2.0,2.0,3.0,1.0,,1.0,2.0,1.0,0.625,4.0,500.0
86,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,0.7083333333333334,4.0,500.0
87,,,1.0,,1.0,1.0,2.0,1.0,,,1.0,,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,3.0,1.0,1.0,0.7083333333333334,4.0,500.0
88,,,,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,0.7083333333333334,4.0,500.0
89,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,2.0,1.0,1.0,2.0,2.0,,1.0,2.0,3.0,,,1.0,0.7083333333333334,4.0,500.0
90,,2.0,2.0,4.0,2.0,1.0,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,0.6666666666666666,4.0,500.0
91,,,,1.0,2.0,1.0,2.0,4.0,,1.0,,,1.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,0.6666666666666666,4.0,500.0
92,,,,2.0,2.0,2.0,,3.0,,1.0,2.0,,1.0,1.0,3.0,1.0,,2.0,,,1.0,2.0,,1.0,0.5833333333333334,4.0,500.0
93,,,1.0,,,1.0,1.0,,,1.0,2.0,,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,3.0,2.0,1.0,1.0,0.6666666666666666,4.0,500.0
94,,3.0,1.0,1.0,2.0,1.0,,1.0,,2.0,,1.0,2.0,2.0,,2.0,1.0,,,,2.0,2.0,1.0,,0.625,4.0,500.0
95,,,1.0,3.0,1.0,,3.0,,,1.0,,,,3.0,1.0,,2.0,,1.0,2.0,2.0,1.0,3.0,,0.5416666666666666,4.0,500.0
96,,,1.0,1.0,2.0,4.0,,,,,,1.0,1.0,1.0,2.0,,,,1.0,3.0,3.0,,3.0,1.0,0.5416666666666666,4.0,500.0
97,,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,2.0,1.0,,,1.0,3.0,1.0,,,0.6666666666666666,4.0,500.0
98,1.0,,,3.0,2.0,,2.0,3.0,,1.0,2.0,,1.0,3.0,1.0,1.0,,1.0,,1.0,,,2.0,,0.5833333333333334,4.0,500.0
99,,1.0,,2.0,,3.0,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,,1.0,,,1.0,2.0,2.0,1.0,,1.0,0.6666666666666666,4.0,500.0
100,,,,,3.0,2.0,,3.0,2.0,1.0,1.0,1.0,,1.0,3.0,1.0,,1.0,,1.0,,2.0,2.0,,0.5833333333333334,4.0,500.0
101,,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,0.75,4.0,500.0
