packs,common,uncommon,rare,super rare,ultra rare
1,9.090909090909062,14.28571428571429,21.68674698795181,14.457831325301196,6.024096385542155
2,17.355371900826412,26.530612244897956,38.670344026709266,26.825373784293795,11.685295398461315
3,24.868519909842245,37.026239067055386,51.970751346218066,37.40483781548024,17.005458326264854
4,31.698654463492925,46.02249062890462,62.386732981978035,46.454740781916826,22.00512951142961
5,37.907867694084494,53.73356339620399,70.54382703407917,54.196224042362594,26.703615685439917
6,43.55260699462226,60.343054339603405,76.93191273753189,60.81845671093667,31.1190605236664
7,48.68418817692933,66.00833229108864,81.93463045710328,66.48325815031933,35.26851470898769
8,53.34926197902665,70.8642848209331,85.85242144230982,71.32905215268279,39.16800177471133
9,57.59023816275152,75.0265298465141,88.9205710090378,75.474249431813,42.83257998105403
10,61.44567105704684,78.59416843986922,91.32333874201755,79.02014108022557,46.27640046412306
11,64.95061005186076,81.65214437703077,93.20502431603785,82.05337369513272,49.512761881946986
12,68.13691822896432,84.2732666088835,94.67863350051155,84.64806665487257,52.55416176857668
13,71.0335620263312,86.51994280761444,95.83266478955726,86.86762328308377,55.412344794566
14,73.66687456939201,88.4456652636695,96.7364242327858,88.76628015781864,58.098348120194586
15,76.06079506308363,90.09628451171672,97.44418765218164,90.39043242415812,60.62254401656838
16,78.23708642098512,91.51110101004292,97.99846020953986,91.7797674953642,62.99467991918477
17,80.21553310998648,92.72380086575106,98.43252907976012,92.968234845432,65.22391606863147
18,82.01412100907861,93.76325788492947,98.77246253234226,93.98487559067075,67.31886088377414
19,83.6492009173442,94.65422104422527,99.03867547713551,94.8545321317786,69.28760420402872
20,85.13563719758564,95.41790375219308,99.24715549414228,95.59845519706363,71.13774852908723
21,86.48694290689602,96.0724889304512,99.41042297734033,96.23482312037972,72.87643837673257
22,87.71540264263275,96.63356194038674,99.53828305454363,96.77918604273447,74.51038787211013
23,88.83218422057524,97.11448166318864,99.63841444030525,97.24484589197768,76.04590667499507
24,89.84744020052293,97.52669856844742,99.71683058578122,97.64318142566765,77.48892434517607
25,90.77040018229357,97.88002734438349,99.7782408201901,97.98392627978798,78.845013240045
26,91.60945471117599,98.18288058090015,99.82633317243804,98.27540681764997,80.11941003281338
27,92.37223155561452,98.44246906934298,99.8639958579334,98.52474559100177,81.31703593445111
28,93.06566505055866,98.66497348800827,99.89349073211652,98.73803538507381,82.442515697436
29,93.69605913687151,98.85569156114994,99.91658912756112,98.92048810048483,83.50019547469888
30,94.2691446698832,99.01916419527139,99.9346782324274,99.07656211005327,84.49415960272907
31,94.79013151807563,99.15928359594689,99.94884439888892,99.2100712025757,85.428246373649
32,95.2637559255233,99.27938593938306,99.95993838467204,99.32427777569728,86.30606285716412
33,95.69432356865755,99.38233080518548,99.9686264458275,99.42197255511455,87.13099882962412
34,96.08574869877958,99.47056926158754,99.97543034914203,99.50554278811003,87.90623986398411
35,96.44158972616326,99.5462022242179,99.98075870715942,99.57703057778087,88.63477963121397
36,96.76508156923933,99.61103047790105,99.98493151765496,99.63818278340291,89.31943146065893
37,97.05916506294484,99.66659755248662,99.98819938129606,99.69049370628443,89.96283920399273
38,97.32651369358622,99.71422647355996,99.9907585516174,99.73524160417101,90.56748744471605
39,97.5695579032602,99.75505126305139,99.99276272114615,99.77351992645953,91.13571109262472
40,97.790507184782,99.79004393975835,99.9943322515,99.80626403347743,91.66970440029793
41,97.99137016798363,99.82003766265001,99.99556140177711,99.83427405273372,92.17152943642456
42,98.17397287998513,99.84574656798573,99.99652398934352,99.85823443065172,92.64312404868815
43,98.33997534544102,99.8677827725592,99.99727782297987,99.87873065754546,93.08630934695994
44,98.49088667767366,99.88667094790787,99.99786817462278,99.89626357452683,93.5027967356973
45,98.62807879788514,99.90286081249246,99.99833049819856,99.91126161194465,93.89419452270347
46,98.75279890716831,99.91673783927925,99.9986925588302,99.92409125841047,94.26201412976954
47,98.86618082469847,99.92863243366794,99.99897610028871,99.93506601623065,94.60767592918101
48,98.96925529518043,99.93882780028679,99.9991981508285,99.94445406207683,94.93251472862794
49,99.06295935925493,99.94756668596011,99.99937204582956,99.95248480008982,95.23778492569855
50,99.14814487204994,99.95505715939437,99.99950822866171,99.9593544675467,95.52466535186129
51,99.22558624731812,99.9614775651952,99.9996148778676,99.96523093007008,95.79426382464072
52,99.29598749756194,99.9669807701673,99.99969839833005,99.97025778355392,96.04762142556598
53,99.35998863414721,99.97169780300055,99.99976380592112,99.9745578630401,96.2857165204114
54,99.41817148558837,99.97574097400047,99.99981502873341,99.97823624428732,96.50946853725408
55,99.47106498689851,99.97920654914326,99.99985514298399,99.98138281137831,96.71974151693757
56,99.51914998808957,99.9821770421228,99.99988655775854,99.98407445310674,96.91734744965218
